question,choices,answer,level,subject
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),"['A. 2', 'B. 3', 'C. 4', 'D. 12']",C. 4,college,abstract_algebra
Statement 1 | The homomorphic image of a cyclic group is cyclic. Statement 2 | The homomorphic image of an Abelian group is Abelian.,"['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","A. True, True",college,abstract_algebra
Find the maximum possible order for an element of S_n for n = 10.,"['A. 6', 'B. 12', 'C. 30', 'D. 105']",C. 30,college,abstract_algebra
Statement 1 | Q is an extension field of Z_2. Statement 2 | Every non-constant polynomial over a field has a zero in some extension field.,"['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","D. False, True",college,abstract_algebra
The set of all real numbers under the usual multiplication operation is not a group since,"['A. multiplication is not a binary operation', 'B. multiplication is not associative', 'C. identity element does not exist', 'D. zero has no inverse']",D. zero has no inverse,college,abstract_algebra
Statement 1 | For every positive integer n there is a cyclic group of order n. Statement 2 | Every finite cyclic group contains an element of every order that divides the order of the group.,"['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","A. True, True",college,abstract_algebra
"Statement 1 | If H and K are subgroups of a group G, then |HK| = |H||K|/|H intersection K|. Statement 2 | A group of order 2p where p is an odd prime is cyclic or isomorphic to D_p.","['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","A. True, True",college,abstract_algebra
"Statement 1 | For n > 1, the set {1,2, ..., n-1} is a group under multiplication modulo n. Statement 2 | There is an integer x such that 63x mod 100 = 1.","['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","D. False, True",college,abstract_algebra
"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function f must necessarily be injective. Statement 2 | The function f must necessarily be surjective.","['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","C. True, False",college,abstract_algebra
Statement 1 | If H is a subgroup of G and a belongs to G then aH is a subgroup of G if and only if a is in H. Statement 2 | If H is a subgroup of G and a and b belong to G then aH = bH if and only if ab is in H.,"['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","C. True, False",college,abstract_algebra
"Statement 1 | If aH is an element of a factor group, then |aH| divides |a|. Statement 2 | If H and K are subgroups of G then HK is a subgroup of G.","['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","B. False, False",college,abstract_algebra
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.","['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","D. False, True",college,abstract_algebra
Find all c in Z_3 such that Z_3[x]/(x^2 + c) is a field.,"['A. 0', 'B. 1', 'C. 2', 'D. 3']",B. 1,college,abstract_algebra
"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is","['A. symmetric only', 'B. anti-symmetric only', 'C. both symmetric and anti-symmetric', 'D. an equivalence relation']",C. both symmetric and anti-symmetric,college,abstract_algebra
"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.","['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","A. True, True",college,abstract_algebra
The thoracic cage is a structural unit important for which of the following functions?,"['A. Alimentation', 'B. Menstruation', 'C. Mentation', 'D. Respiration']",D. Respiration,college,anatomy
Which one of the following is brought about by activation of sympathetic nerves?,"['A. Contraction of bronchial smooth muscle.', 'B. Dilation of the pupil of the eye.', 'C. Increase in intestinal secretion', 'D. Decrease in heart rate']",B. Dilation of the pupil of the eye.,college,anatomy
Which of the following cavities are separated by the diaphragm?,"['A. Abdominal and pelvic', 'B. Cranial and spinal', 'C. Thoracic and abdominal', 'D. Pericardial and pleural']",C. Thoracic and abdominal,college,anatomy
Male hormones are produced by which of the following?,"['A. Glans penis', 'B. Prepuce', 'C. Prostate', 'D. Testes']",D. Testes,college,anatomy
The seventh cranial nerve supplies,"['A. taste buds on the posterior third of the tongue.', 'B. muscles of the soft palate.', 'C. muscles of the lower lip.', 'D. the parotid salivary gland.']",C. muscles of the lower lip.,college,anatomy
"A patient has a fracture in which the radius is bent but not displaced, and the skin is intact. This type of fracture is known as which of the following?","['A. Closed, greenstick', 'B. Complex, comminuted', 'C. Compound, transverse', 'D. Open, spiral']","A. Closed, greenstick",college,anatomy
Which of the following is located beneath the diaphragm in the left upper quadrant of the abdominal cavity?,"['A. Appendix', 'B. Duodenum', 'C. Spleen', 'D. Pancreas']",C. Spleen,college,anatomy
