round_0,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8
0,,,,,,,,
1,"(1, 99.99)","(1, 56.11)","(1, 98.91)","(0, 99.23)","(0, 73.06)","(0, 99.98)","(1, 96.58)","(1, 97.12)"
0,,,,,,,,
0,,,,,,,,
1,"(1, 99.97)","(1, 99.99)","(1, 99.99)","(1, 99.99)","(1, 99.99)","(1, 99.99)","(1, 100.0)","(1, 99.97)"
1,"(1, 99.99)","(1, 99.99)","(1, 100.0)","(1, 99.99)","(1, 99.97)","(1, 99.91)","(1, 100.0)","(1, 99.96)"
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 99.93)","(1, 99.99)","(1, 99.99)","(1, 99.99)","(1, 98.6)","(1, 99.99)","(1, 100.0)","(0, 99.93)"
1,"(1, 99.98)","(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 99.99)","(1, 100.0)","(1, 100.0)"
1,"(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 99.97)","(1, 99.79)","(1, 99.8)","(1, 99.98)","(1, 99.94)","(1, 99.89)","(1, 99.99)","(1, 98.86)"
0,,,,,,,,
1,"(1, 99.99)","(1, 100.0)","(1, 99.99)","(1, 100.0)","(1, 99.98)","(1, 100.0)","(1, 100.0)","(1, 99.99)"
1,"(1, 99.96)","(1, 99.84)","(1, 97.39)","(1, 95.02)","(1, 79.37)","(1, 96.05)","(1, 99.95)","(1, 92.0)"
1,"(1, 99.99)","(1, 99.93)","(1, 99.98)","(1, 96.89)","(1, 81.46)","(1, 99.72)","(1, 99.9)","(1, 67.59)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 99.99)","(1, 100.0)","(1, 99.99)","(1, 100.0)","(1, 99.99)","(1, 99.99)","(1, 100.0)","(1, 100.0)"
1,"(0, 65.09)","(1, 98.05)","(0, 98.57)","(1, 97.81)","(0, 87.6)","(1, 79.56)","(0, 99.47)","(0, 90.38)"
1,"(1, 99.99)","(1, 99.83)","(1, 99.81)","(1, 99.99)","(1, 99.98)","(1, 100.0)","(1, 100.0)","(1, 99.99)"
1,"(1, 99.98)","(1, 99.9)","(1, 99.99)","(1, 99.99)","(1, 99.6)","(1, 99.97)","(1, 100.0)","(1, 99.84)"
1,"(1, 99.76)","(1, 99.95)","(1, 99.99)","(1, 99.81)","(1, 94.17)","(1, 99.92)","(1, 100.0)","(1, 97.02)"
1,"(1, 100.0)","(1, 99.99)","(1, 99.98)","(1, 98.68)","(1, 92.22)","(1, 99.99)","(1, 100.0)","(1, 99.98)"
1,"(1, 99.87)","(1, 99.42)","(1, 98.96)","(1, 97.8)","(1, 83.11)","(1, 99.98)","(1, 99.99)","(1, 99.68)"
1,"(1, 89.64)","(1, 70.19)","(1, 92.38)","(0, 83.19)","(1, 99.83)","(1, 99.46)","(1, 99.99)","(1, 99.43)"
0,,,,,,,,
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.97)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 99.98)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 99.97)","(1, 100.0)","(1, 100.0)"
1,"(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 99.99)","(1, 99.99)","(1, 99.99)","(1, 99.99)"
1,"(1, 99.99)","(1, 99.99)","(1, 99.98)","(1, 99.91)","(1, 98.86)","(1, 99.63)","(1, 100.0)","(1, 99.99)"
0,,,,,,,,
1,"(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 99.99)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 99.99)","(1, 99.97)","(1, 100.0)","(1, 99.95)"
1,"(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 99.99)","(1, 100.0)","(1, 100.0)"
0,,,,,,,,
1,"(1, 99.96)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 99.99)"
0,,,,,,,,
1,"(1, 99.98)","(1, 99.97)","(1, 98.51)","(1, 99.42)","(1, 87.85)","(1, 99.19)","(0, 99.95)","(1, 99.9)"
1,"(1, 99.99)","(1, 99.99)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 99.99)","(1, 100.0)","(1, 100.0)"
1,"(1, 99.99)","(1, 99.99)","(1, 99.99)","(1, 99.97)","(1, 99.8)","(1, 99.99)","(1, 100.0)","(1, 99.99)"
1,"(1, 99.98)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(0, 100.0)"
0,,,,,,,,
