round_0,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_1_ans,round_1_conf,round_2_ans,round_2_conf,round_3_ans,round_3_conf,round_4_ans,round_4_conf,round_5_ans,round_5_conf,round_6_ans,round_6_conf,round_7_ans,round_7_conf,round_8_ans,round_8_conf
1,"(0, np.float64(99.21))","(1, np.float64(97.68))","(0, np.float64(98.58))","(1, np.float64(99.78))","(0, np.float64(98.88))","(1, np.float64(99.6))","(1, np.float64(99.99))","(1, np.float64(99.91))",0.0,99.21,1.0,97.68,0.0,98.58,1.0,99.78,0.0,98.88,1.0,99.6,1.0,99.99,1.0,99.91
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(0, np.float64(94.9))","(1, np.float64(99.77))","(1, np.float64(97.53))","(1, np.float64(92.59))","(0, np.float64(99.84))","(1, np.float64(97.24))","(1, np.float64(99.84))","(1, np.float64(99.58))",0.0,94.9,1.0,99.77,1.0,97.53,1.0,92.59,0.0,99.84,1.0,97.24,1.0,99.84,1.0,99.58
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(99.88))","(1, np.float64(99.67))","(1, np.float64(99.22))","(1, np.float64(98.41))","(1, np.float64(92.34))","(1, np.float64(99.98))","(1, np.float64(99.99))","(1, np.float64(99.76))",1.0,99.88,1.0,99.67,1.0,99.22,1.0,98.41,1.0,92.34,1.0,99.98,1.0,99.99,1.0,99.76
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(100.0))",1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
1,"(1, np.float64(100.0))","(1, np.float64(99.95))","(1, np.float64(99.98))","(1, np.float64(99.99))","(1, np.float64(99.98))","(1, np.float64(99.73))","(1, np.float64(98.85))","(1, np.float64(99.92))",1.0,100.0,1.0,99.95,1.0,99.98,1.0,99.99,1.0,99.98,1.0,99.73,1.0,98.85,1.0,99.92
0,,,,,,,,,,,,,,,,,,,,,,,,
1,"(1, np.float64(100.0))","(1, np.float64(100.0))","(1, np.float64(99.75))","(1, np.float64(99.97))","(1, np.float64(99.92))","(1, np.float64(99.57))","(1, np.float64(99.98))","(1, np.float64(99.9))",1.0,100.0,1.0,100.0,1.0,99.75,1.0,99.97,1.0,99.92,1.0,99.57,1.0,99.98,1.0,99.9
