model,round,accuracy,total_samples,correct_samples
CARG,1,75.43,700,528
CARG,2,74.0,700,518
CARG,3,74.29,700,520
CARG,4,74.86,700,524
CARG,5,75.71,700,530
CARG,6,75.0,700,525
CARG,7,75.14,700,526
CARG,8,74.14,700,519
claude,1,76.71,700,537
claude,2,65.71,700,460
claude,3,62.0,700,434
claude,4,48.57,700,340
claude,5,64.14,700,449
claude,6,65.14,700,456
claude,7,64.71,700,453
claude,8,57.57,700,403
deepseek,1,64.0,700,448
deepseek,2,64.86,700,454
deepseek,3,62.0,700,434
deepseek,4,50.57,700,354
deepseek,5,63.71,700,446
deepseek,6,54.57,700,382
deepseek,7,49.86,700,349
deepseek,8,58.43,700,409
gemini,1,56.29,700,394
gemini,2,36.43,700,255
gemini,3,41.29,700,289
gemini,4,43.71,700,306
gemini,5,36.86,700,258
gemini,6,42.71,700,299
gemini,7,43.57,700,305
gemini,8,33.86,700,237
gpt,1,74.71,700,523
gpt,2,70.57,700,494
gpt,3,71.29,700,499
gpt,4,69.57,700,487
gpt,5,70.71,700,495
gpt,6,70.86,700,496
gpt,7,71.14,700,498
gpt,8,71.86,700,503
llama_3.3,1,54.43,700,381
llama_3.3,2,51.71,700,362
llama_3.3,3,48.43,700,339
llama_3.3,4,47.29,700,331
llama_3.3,5,51.0,700,357
llama_3.3,6,22.57,700,158
llama_3.3,7,24.43,700,171
llama_3.3,8,32.71,700,229
llama_4,1,56.71,700,397
llama_4,2,54.29,700,380
llama_4,3,53.71,700,376
llama_4,4,52.0,700,364
llama_4,5,51.14,700,358
llama_4,6,47.57,700,333
llama_4,7,48.43,700,339
llama_4,8,48.71,700,341
mistral,1,57.71,700,404
mistral,2,51.43,700,360
mistral,3,53.43,700,374
mistral,4,48.43,700,339
mistral,5,48.14,700,337
mistral,6,46.57,700,326
mistral,7,46.86,700,328
mistral,8,47.43,700,332
qwen,1,67.0,700,469
qwen,2,66.14,700,463
qwen,3,67.29,700,471
qwen,4,50.86,700,356
qwen,5,63.0,700,441
qwen,6,58.29,700,408
qwen,7,55.0,700,385
qwen,8,59.29,700,415
